year,month,day,date,river,site,chamber_id,species_id,boat_g,boat_animal_g,dry_mass_g,boat_ashed_g,organic_g,inorganic_g,calcifier,notes
2023,6,2,2023-06-02,YOR,BR,F,worm,,,0.0338,,,,no,not ashed
2023,6,2,2023-06-02,YOR,BR,F,epi,1.2659,1.2703,0.0044,1.2699,0.0004,0.004,yes,
2023,6,2,2023-06-02,YOR,BR,J,worm,1.2747,1.3894,0.1147,1.3691,0.0203,0.0944,no,
2023,6,2,2023-06-02,YOR,BR,J,clam,1.2599,1.2741,0.0142,1.2726,0.0015,0.0127,yes,
2023,6,2,2023-06-02,YOR,BR,K,worm,1.2575,1.3119,0.0544,1.2815,0.0304,0.024,no,
2023,6,9,2023-06-09,POT,BR,A,worm,1.2528,1.2748,0.022,1.2548,0.02,0.002,no,
2023,6,9,2023-06-09,POT,BR,A,worm,1.2569,1.3290,0.0721,1.2803,0.0487,0.0234,no,
2023,6,9,2023-06-09,POT,BR,B,worm,1.2430,1.2729,0.0299,1.2541,0.0188,0.0111,no,
2023,6,9,2023-06-09,POT,BR,B,worm,1.2549,1.2649,0.01,1.2557,0.0092,0.0008,no,
2023,6,9,2023-06-09,POT,BR,C,worm,1.2449,1.3168,0.0719,1.2664,0.0504,0.0215,no,
2023,6,9,2023-06-09,POT,BR,C,worm,1.2716,1.2917,0.0201,1.2732,0.0185,0.0016,no,
2023,6,9,2023-06-09,POT,BR,C,insect,1.2651,1.2806,0.0155,1.2719,0.0087,0.0068,yes,
2023,6,9,2023-06-09,POT,BR,D,worm,1.2512,1.2605,0.0093,1.2523,0.0082,0.0011,no,
2023,6,9,2023-06-09,POT,BR,D,worm,1.2378,1.2539,0.0161,1.2405,0.0134,0.0027,no,
2023,6,9,2023-06-09,POT,BR,D,clam,1.2840,1.3044,0.0204,1.293,0.0114,0.0090,yes,
2023,6,9,2023-06-09,POT,BR,E,worm,1.2477,1.2595,0.0118,1.2485,0.011,0.0008,no,
2023,6,9,2023-06-09,POT,BR,E,insect,1.2877,1.2927,0.005,1.2889,0.0038,0.0012,yes,
2023,6,9,2023-06-09,POT,BR,E,insect,1.2489,1.2573,0.0084,1.2527,0.0046,0.0038,yes,
2023,6,9,2023-06-09,POT,BR,F,worm,1.2422,1.2792,0.0370,1.2555,0.0237,0.0133,no,
2023,6,9,2023-06-09,POT,BR,F,worm,1.2787,1.2959,0.0172,1.2819,0.014,0.0032,no,
2023,6,9,2023-06-09,POT,BR,F,worm,1.2675,1.3386,0.0711,1.2983,0.0403,0.0308,no,
2023,8,1,2023-08-01,POT,BR,A,worm,1.2295,1.3962,0.1667,1.2865,0.1097,0.057,no,
2023,8,1,2023-08-01,POT,BR,B,worm,1.2727,1.4065,0.1338,1.3027,0.1038,0.03,no,
2023,8,1,2023-08-01,POT,BR,B,insect,1.2663,1.2722,0.0059,1.2998,,0.0335,yes,negative organic
2023,8,1,2023-08-01,POT,BR,C,worm,1.2463,1.3251,0.0788,1.2605,0.0646,0.0142,no,
2023,8,1,2023-08-01,POT,BR,D,worm,1.2584,1.2909,0.0325,1.2633,0.0276,0.0049,no,
2023,8,1,2023-08-01,POT,BR,E,worm,1.2427,1.6101,0.3674,1.4705,0.1396,0.2278,no,
2023,8,1,2023-08-01,POT,BR,F,worm,1.2299,1.3832,0.1533,1.2779,0.1053,0.048,no,
2023,8,1,2023-08-02,POT,BR,D,epi,1.2377,1.2429,0.0052,1.2421,0.0008,0.0044,no,
2023,8,2,2023-08-02,POT,FW,A,leech,1.2783,1.3217,0.0434,1.2807,0.041,0.0024,no,
2023,8,2,2023-08-02,POT,FW,C,insect,1.2521,1.2554,0.0033,1.2574,,0.0053,yes,negative organic
2023,8,2,2023-08-02,POT,FW,D,insect,1.2469,1.2833,0.0364,1.2553,0.028,0.0084,yes,
2023,8,2,2023-08-02,POT,FW,D,snail,1.2409,2.1965,0.9556,2.2466,,1.0057,yes,negative organic
2023,8,2,2023-08-02,POT,FW,D,insect,1.2745,1.2772,0.0027,1.2814,,0.0069,yes,negative organic
2023,8,2,2023-08-02,POT,FW,D,worm,1.239,1.2489,0.0099,1.241,0.0079,0.002,no,
2023,8,2,2023-08-02,POT,FW,F,clam,1.2488,8.8507,7.6019,7.5539,1.2968,6.3051,yes,
2023,8,2,2023-08-02,POT,FW,F,worm,1.2679,1.2703,0.0024,1.2992,,0.0313,no,negative organic
2023,8,2,2023-08-02,POT,FW,F,snail,1.2601,1.7784,0.5183,1.808,,0.5479,yes,negative organic
2023,8,2,2023-08-02,POT,FW,H,clam,1.2636,8.535,7.2714,8.1117,0.4233,6.8481,yes,
2023,8,2,2023-08-02,POT,FW,H,insect,1.2316,1.2487,0.0171,1.2342,0.0145,0.0026,yes,
2023,8,2,2023-08-02,POT,FW,K,snail,1.2686,1.651,0.3824,1.6327,0.0183,0.3641,yes,
2023,8,2,2023-08-02,POT,FW,L,leech,1.2711,1.32,0.0489,1.281,0.039,0.0099,no,
2023,8,2,2023-08-02,POT,FW,L,snail,1.2483,1.4443,0.196,1.4392,0.0051,0.1909,yes,
2023,8,16,2023-08-16,YOR,BR,A,epi,1.2697,1.3342,0.0645,1.3375,,0.0678,yes,negative organic
2023,8,16,2023-08-16,YOR,BR,A,worm,1.2194,1.2411,0.0217,1.2243,0.0168,0.0049,no,
2023,8,16,2023-08-16,YOR,BR,B,worm,1.2771,3.0355,1.7584,2.4755,0.56,1.1984,no,
2023,8,16,2023-08-16,YOR,BR,B,epi,1.2661,1.3324,0.0663,1.322,0.0104,0.0559,yes,
2023,8,16,2023-08-16,YOR,BR,C,worm,1.2658,1.3984,0.1326,1.3665,0.0319,0.1007,no,
2023,8,16,2023-08-16,YOR,BR,C,epi,1.235,1.2436,0.0086,1.2421,0.0015,0.0071,yes,
2023,8,16,2023-08-16,YOR,BR,D,epi,1.2616,1.2744,0.0128,1.272,0.0024,0.0104,yes,
2023,8,16,2023-08-16,YOR,BR,D,clam,1.2719,1.3692,0.0973,1.3518,0.0174,0.0799,yes,
2023,8,16,2023-08-16,YOR,BR,D,worm,1.2341,2.8505,1.6164,2.7863,0.0642,1.5522,no,
2023,8,16,2023-08-16,YOR,BR,D,crab,1.2712,1.2939,0.0227,1.2829,0.011,0.0117,yes,
2023,8,16,2023-08-16,YOR,BR,E,epi,1.2553,1.2699,0.0146,1.2676,0.0023,0.0123,yes,
2023,8,16,2023-08-16,YOR,BR,E,epi,1.2489,1.3339,0.085,1.3164,0.0144,0.0675,yes,dropped sample; new boat_animal_g is 1.3308
2023,8,16,2023-08-16,YOR,BR,E,worm,1.2512,3.7558,2.5046,3.5368,0.219,2.2856,no,
2023,8,16,2023-08-16,YOR,BR,F,worm,1.2736,2.1996,0.926,2.1454,0.0542,0.8718,no,
2023,8,16,2023-08-16,YOR,BR,G,clam,1.261,1.2884,0.0274,1.2801,0.0083,0.0191,yes,
2023,8,16,2023-08-16,YOR,BR,G,sav,1.2785,1.2902,0.0117,,1.2902,,,tiny SAV shoot in sediment core
2023,8,16,2023-08-16,YOR,BR,K,worm,1.2718,1.4829,0.2111,1.4792,0.0037,0.2074,no,
2023,8,16,2023-08-16,YOR,BR,L,worm,1.2883,2.7078,1.4195,2.6537,0.0541,1.3654,no,
2023,8,17,2023-08-17,YOR,FW,D,clam,1.2389,2.191,0.9521,2.1668,0.0242,0.9279,yes,
2023,8,17,2023-09-17,YOR,FW,E,clam,1.2352,2.2344,0.9992,2.186,0.0484,0.9508,yes,
