date,year,month,day,river,site,treatment,replicate,chamber_id,T1,T2,notes
8/1/23,2023,8,1,POT,BR,W-L,3,R,10:40,13:32,
8/1/23,2023,8,1,POT,BR,AMBIENT,1,Z,9:30,13:50,
8/2/23,2023,8,2,POT,FW,SAV-D,1,A,12:28,14:25,
8/2/23,2023,8,2,POT,FW,SAV-D,2,B,12:17,14:44,
8/2/23,2023,8,2,POT,FW,SAV-D,3,C,12:00,14:50,
8/2/23,2023,8,2,POT,FW,SAV-L,1,D,11:40,15:24,
8/2/23,2023,8,2,POT,FW,SAV-L,2,E,11:56,15:05,
8/2/23,2023,8,2,POT,FW,SAV-L,3,F,12:12,14:45,
8/2/23,2023,8,2,POT,FW,SED-D,1,G,10:11,13:30,
8/2/23,2023,8,2,POT,FW,SED-D,2,H,10:48,13:50,
8/2/23,2023,8,2,POT,FW,SED-D,3,I,10:41,13:59,
8/2/23,2023,8,2,POT,FW,SED-L,1,J,11:25,14:15,
8/2/23,2023,8,2,POT,FW,SED-L,2,K,11:03,13:06,
8/2/23,2023,8,2,POT,FW,SED-L,3,L,10:27,13:40,
8/2/23,2023,8,2,POT,FW,W-D,1,M,9:25,13:30,
8/2/23,2023,8,2,POT,FW,W-D,2,N,10:00,13:54,
8/2/23,2023,8,2,POT,FW,W-D,3,O,10:01,14:08,
8/2/23,2023,8,2,POT,FW,W-L,1,P,10:30,14:18,
8/2/23,2023,8,2,POT,FW,W-L,2,Q,10:40,14:38,
8/2/23,2023,8,2,POT,FW,W-L,3,R,10:55,14:53,
8/2/23,2023,8,2,POT,FW,AMBIENT,1,Z,9:30,15:00,
8/16/23,2023,8,16,YOR,BR,SAV-D,1,A,11:00,13:28,
8/16/23,2023,8,16,YOR,BR,SAV-D,2,B,11:00,13:34,
8/16/23,2023,8,16,YOR,BR,SAV-D,3,C,11:00,13:39,
8/16/23,2023,8,16,YOR,BR,SAV-L,1,D,11:30,13:46,
8/16/23,2023,8,16,YOR,BR,SAV-L,2,E,11:30,13:58,
8/16/23,2023,8,16,YOR,BR,SAV-L,3,F,11:30,13:51,
8/16/23,2023,8,16,YOR,BR,SED-D,1,G,10:00,12:40,
8/16/23,2023,8,16,YOR,BR,SED-D,2,H,9:50,12:53,
8/16/23,2023,8,16,YOR,BR,SED-D,3,I,9:58,12:59,
8/16/23,2023,8,16,YOR,BR,SED-L,1,J,10:06,13:05,
8/16/23,2023,8,16,YOR,BR,SED-L,2,K,10:11,13:09,
8/16/23,2023,8,16,YOR,BR,SED-L,3,L,10:16,13:15,
8/16/23,2023,8,16,YOR,BR,W-D,1,M,9:00,12:20,
8/16/23,2023,8,16,YOR,BR,W-D,2,N,9:05,12:25,
8/16/23,2023,8,16,YOR,BR,W-D,3,O,9:10,12:27,
8/16/23,2023,8,16,YOR,BR,W-L,1,P,9:19,12:30,
8/16/23,2023,8,16,YOR,BR,W-L,2,Q,9:24,13:15,
8/16/23,2023,8,16,YOR,BR,W-L,3,R,9:29,12:30,
8/16/23,2023,8,16,YOR,BR,AMBIENT,1,Z,8:55,13:50,
8/17/23,2023,8,17,YOR,FW,SAV-D,1,A,10:45,12:50,
8/17/23,2023,8,17,YOR,FW,SAV-D,2,B,10:32,12:40,
8/17/23,2023,8,17,YOR,FW,SAV-D,3,C,11:00,12:55,
8/17/23,2023,8,17,YOR,FW,SAV-L,1,D,11:11,13:22,
8/17/23,2023,8,17,YOR,FW,SAV-L,2,E,10:30,12:42,
8/17/23,2023,8,17,YOR,FW,SAV-L,3,F,11:02,13:13,
8/17/23,2023,8,17,YOR,FW,SED-D,1,G,11:00,13:00,
8/17/23,2023,8,17,YOR,FW,SED-D,2,H,10:41,13:30,
8/17/23,2023,8,17,YOR,FW,SED-D,3,I,10:57,13:32,
8/17/23,2023,8,17,YOR,FW,SED-L,1,J,11:20,13:41,
8/17/23,2023,8,17,YOR,FW,SED-L,2,K,11:30,13:50,
8/17/23,2023,8,17,YOR,FW,SED-L,3,L,11:40,13:50,
8/17/23,2023,8,17,YOR,FW,W-D,1,M,9:30,12:35,
8/17/23,2023,8,17,YOR,FW,W-D,2,N,9:24,12:43,
8/17/23,2023,8,17,YOR,FW,W-D,3,O,9:34,12:47,
8/17/23,2023,8,17,YOR,FW,W-L,1,P,10:00,12:25,
8/17/23,2023,8,17,YOR,FW,W-L,2,Q,9:52,12:56,
8/17/23,2023,8,17,YOR,FW,W-L,3,R,10:00,13:03,
8/17/23,2023,8,17,YOR,FW,AMBIENT,1,Z,9:14,13:50,
10/11/23,2023,10,11,YOR,FW,SAV-D,1,A,13:00,16:28,
10/11/23,2023,10,11,YOR,FW,SAV-D,2,B,12:25,15:52,
10/11/23,2023,10,11,YOR,FW,SAV-D,3,C,12:35,15:00,
10/11/23,2023,10,11,YOR,FW,SAV-L,1,D,13:30,15:50,
10/11/23,2023,10,11,YOR,FW,SAV-L,2,E,13:50,16:05,
10/11/23,2023,10,11,YOR,FW,SAV-L,3,F,13:45,16:10,
10/11/23,2023,10,11,YOR,FW,SED-D,1,G,10:55,12:40,
10/11/23,2023,10,11,YOR,FW,SED-D,2,H,10:57,14:46,
10/11/23,2023,10,11,YOR,FW,SED-D,3,I,11:10,14:49,
10/11/23,2023,10,11,YOR,FW,SED-L,1,J,11:16,14:56,
10/11/23,2023,10,11,YOR,FW,SED-L,2,K,11:28,15:01,
10/11/23,2023,10,11,YOR,FW,SED-L,3,L,11:34,15:08,
10/11/23,2023,10,11,YOR,FW,W-D,1,M,9:40,15:32,
10/11/23,2023,10,11,YOR,FW,W-D,2,N,9:45,15:36,
10/11/23,2023,10,11,YOR,FW,W-D,3,O,10:00,15:30,
10/11/23,2023,10,11,YOR,FW,W-L,1,P,10:15,15:30,
10/11/23,2023,10,11,YOR,FW,W-L,2,Q,10:11,15:50,
10/11/23,2023,10,11,YOR,FW,W-L,3,R,10:20,15:54,
10/11/23,2023,10,11,YOR,FW,AMBIENT,1,Z,9:30,16:30,
10/12/23,2023,10,12,YOR,BR,SAV-D,1,A,10:20,13:02,
10/12/23,2023,10,12,YOR,BR,SAV-D,2,B,10:10,12:49,
10/12/23,2023,10,12,YOR,BR,SAV-D,3,C,10:08,12:57,
10/12/23,2023,10,12,YOR,BR,SAV-L,1,D,10:35,13:06,
10/12/23,2023,10,12,YOR,BR,SAV-L,2,E,10:00,12:44,
10/12/23,2023,10,12,YOR,BR,SAV-L,3,F,10:35,13:13,
10/12/23,2023,10,12,YOR,BR,SED-D,1,G,9:28,12:28,
10/12/23,2023,10,12,YOR,BR,SED-D,2,H,9:20,12:21,
10/12/23,2023,10,12,YOR,BR,SED-D,3,I,9:38,12:33,
10/12/23,2023,10,12,YOR,BR,SED-L,1,J,9:12,12:15,
10/12/23,2023,10,12,YOR,BR,SED-L,2,K,9:05,12:10,
10/12/23,2023,10,12,YOR,BR,SED-L,3,L,9:33,12:38,
10/12/23,2023,10,12,YOR,BR,W-D,1,M,8:30,13:26,
10/12/23,2023,10,12,YOR,BR,W-D,2,N,8:30,13:30,
10/12/23,2023,10,12,YOR,BR,W-D,3,O,8:38,13:35,
10/12/23,2023,10,12,YOR,BR,W-L,1,P,8:47,13:41,
10/12/23,2023,10,12,YOR,BR,W-L,2,Q,8:55,13:46,
10/12/23,2023,10,12,YOR,BR,W-L,3,R,9:02,13:49,
10/12/23,2023,10,12,YOR,BR,AMBIENT,1,Z,9:00,13:50,
10/18/23,2023,10,18,POT,BR,SAV-D,1,A,12:35,14:18,
10/18/23,2023,10,18,POT,BR,SAV-D,2,B,12:25,14:28,
10/18/23,2023,10,18,POT,BR,SAV-D,3,C,11:50,14:59,
10/18/23,2023,10,18,POT,BR,SAV-L,1,D,12:00,14:46,
10/18/23,2023,10,18,POT,BR,SAV-L,2,E,11:51,14:53,
10/18/23,2023,10,18,POT,BR,SAV-L,3,F,12:10,14:30,
10/18/23,2023,10,18,POT,BR,SED-D,1,G,11:30,16:40,
10/18/23,2023,10,18,POT,BR,SED-D,2,H,11:05,16:41,
10/18/23,2023,10,18,POT,BR,SED-D,3,I,10:56,16:30,
10/18/23,2023,10,18,POT,BR,SED-L,1,J,11:40,17:18,
10/18/23,2023,10,18,POT,BR,SED-L,2,K,10:52,16:20,
10/18/23,2023,10,18,POT,BR,SED-L,3,L,11:24,17:07,
10/18/23,2023,10,18,POT,BR,W-D,1,M,9:55,15:19,
10/18/23,2023,10,18,POT,BR,W-D,2,N,10:02,15:26,
10/18/23,2023,10,18,POT,BR,W-D,3,O,10:15,15:34,
10/18/23,2023,10,18,POT,BR,W-L,1,P,10:42,15:40,
10/18/23,2023,10,18,POT,BR,W-L,2,Q,10:30,15:49,
10/18/23,2023,10,18,POT,BR,W-L,3,R,10:41,15:55,
10/18/23,2023,10,18,POT,BR,AMBIENT,1,Z,9:30,17:20,
10/24/23,2023,10,24,POT,FW,SAV-D,1,A,13:30,17:00,
10/24/23,2023,10,24,POT,FW,SAV-D,2,B,13:06,16:45,
10/24/23,2023,10,24,POT,FW,SAV-D,3,C,12:55,16:25,
10/24/23,2023,10,24,POT,FW,SAV-L,1,D,12:50,15:45,
10/24/23,2023,10,24,POT,FW,SAV-L,2,E,12:27,15:45,
10/24/23,2023,10,24,POT,FW,SAV-L,3,F,12:25,15:25,
10/24/23,2023,10,24,POT,FW,SED-D,1,G,11:08,14:30,
10/24/23,2023,10,24,POT,FW,SED-D,2,H,11:50,15:23,
10/24/23,2023,10,24,POT,FW,SED-D,3,I,11:16,14:40,
10/24/23,2023,10,24,POT,FW,SED-L,1,J,11:50,14:50,
10/24/23,2023,10,24,POT,FW,SED-L,2,K,11:23,14:50,
10/24/23,2023,10,24,POT,FW,SED-L,3,L,11:30,14:58,
10/24/23,2023,10,24,POT,FW,W-D,1,M,10:10,15:15,
10/24/23,2023,10,24,POT,FW,W-D,2,N,10:15,15:54,
10/24/23,2023,10,24,POT,FW,W-D,3,O,10:25,16:15,
10/24/23,2023,10,24,POT,FW,W-L,1,P,10:50,16:20,
10/24/23,2023,10,24,POT,FW,W-L,2,Q,10:50,16:48,
10/24/23,2023,10,24,POT,FW,W-L,3,R,11:00,16:54,
10/24/23,2023,10,24,POT,FW,AMBIENT,1,Z,10:00,17:20,
